warmth_score,name,address,suite,city,state,zip,phone,website,services,accreditation_summary,overall_confidence,accreditation_aaahc,accreditation_joint_commission,accreditation_quad_a,has_anesthesia_director,has_named_anesthesia_group,anesthesia_partner_name,anesthesia_quote,distance_miles,within_radius,evidence,notes
45,Excelsior Surgery Center,1320 El Capitan Drive,,Danville,CA,94526,(925) 676-2600,,"Ambulatory surgical procedures, dermatology, Mohs micrographic surgery",None / Unknown,unknown,unknown,unknown,unknown,,,,,4.86,True,Providence Health Plan directory states accreditation status is currently not available for Excelsior Surgery Center. No facility website or public accreditation directory listings were found.,Found via Providence Health Plan directory and NPI registry sites (NPI: 1891338935). Distinct from Executive and Crow Canyon surgery centers.
45,Danville Oral Surgery Center,380 Diablo Road,Suite 101,Danville,CA,94526,(925) 269-8626,https://www.danvilleoscenter.com,oral surgery,None / Unknown,unknown,no,no,no,False,False,,"IV sedation/general anesthesia, uses medications to allow the patient to go to sleep while receiving dental treatment.",2.57,True,"No accreditation by AAAHC, Joint Commission, or QUAD A found on website or public directories. Searches yielded no specific accreditation listings for this facility.",
40,San Ramon Endoscopy Center,5801 Norris Canyon Rd,Suite 220,San Ramon,CA,94583,(925) 275-9966,,"gastroenterology, endoscopy, colonoscopy",None / Unknown,unknown,no,no,no,False,False,,,6.48,True,"Facility website states they are Medicare certified and licensed by California but makes no mention of AAAHC, Joint Commission, or QUAD A accreditation. No evidence found in online directories or databases confirming accreditation by any of these three bodies.",Medicare certified ASC with 1 operating room
32,Executive Surgical Center,1320 El Capitan Drive,Suite 100,Danville,CA,94526,(925) 866-9300,,multi-specialty,None / Unknown,unknown,unknown,unknown,unknown,,,,"You will likely receive separate bills: from the ASC (facility fee), from the Surgeon, and from the Anesthesiologist.",4.86,True,"Executive Surgery Center is Medicare certified by CMS. No specific AAAHC, Joint Commission, or QUAD A accreditation was found in available sources or facility website.",
32,Crow Canyon Surgical Center,1320 El Capitan Drive,Suite 100,Danville,CA,94526,(925) 413-0808,,multi-specialty,None / Unknown,unknown,unknown,unknown,unknown,,,,,4.86,True,"Facility appears to operate as Executive Surgery Center at same address; Medicare certified per multiple sources but no accreditation confirmed in AAAHC, Joint Commission, or QUAD A directories.",Same address as Executive Surgical Center - may be different suites or different operating entities
32,Laser Surgical Center,2021 Ygnacio Valley Rd,Suite H102,Walnut Creek,CA,94598,(925) 944-9400,,multi-specialty,None / Unknown,unknown,no,no,no,,False,,"The surgery center is fine, but the ANESTHESIA GROUP ARE A BUNCH OF CROOKS!!!",4.75,True,"Laser Surgery Center Ltd is Medicare certified by CMS with 3 operating rooms. No evidence found of AAAHC, Joint Commission, or QUAD A accreditation in search results or directories.",
20,Outpatient Surgery Center at San Ramon Regional Medical Center,,,San Ramon,CA,94583,,,"spine surgery, minimally invasive procedures","AAAHC (confirmed), Joint Commission (confirmed)",confirmed,confirmed,confirmed,no,,True,Premier Anesthesia,"Founded in 2001 by Rick Jackson (founder of Jackson Healthcare), Premier Anesthesia has carefully and intentionally developed hospital-based anesthesia practices for over twenty years.",6.91,True,Third-party physician website confirms the Outpatient Surgery Center at San Ramon Regional Medical Center is accredited by AAAHC; facility's own website confirms Joint Commission accreditation and Primary Stroke Center certification with Gold Seal of Approval.,"AAAHC accredited, hospital-based ASC"
17,Iron Horse Surgery Center,1320 El Capitan Drive,,Danville,CA,94526,,,,None / Unknown,unknown,unknown,unknown,unknown,,,,,4.86,True,"The facility at 1320 El Capitan Drive, Danville is registered as Executive Surgery Center, Inc. (Medicare certified). No accreditation by AAAHC, Joint Commission, or QUAD A was found in search results or provider directories.",Found via Waze mapping service listing at this address. Distinct facility name from known centers.
12,Webster Surgery Center,5801 Norris Canyon Road,,San Ramon,CA,94583,,,,AAAHC (confirmed),confirmed,confirmed,no,no,False,True,Medical Anesthesia Consultants,Medical Anesthesia Consultants,6.48,True,Webster Outpatient Surgery Center's website explicitly states 'Our facility is accredited by Accreditation Association for Ambulatory Health Care.' No evidence found for Joint Commission or QUAD A accreditation.,Found via LoopNet listing mentioning this Medical Office Building is in the same building as Webster Surgery Center on the San Ramon Regional Medical Center campus
3,Sequoia Surgical Pavilion,2405 Shadelands Drive,Suite 200,Walnut Creek,CA,94598,,https://sequoiasurgery.org,"orthopedic surgery, spine surgery",AAAHC (confirmed),confirmed,confirmed,no,no,True,True,Vituity,"Anesthesia Johannes Peters, MD Medical Director Vituity (800) 498-7157",4.81,True,The facility website explicitly states accreditation through AAAHC on multiple pages. A 2024 CASA press release confirms they received AAAHC Certification in Advanced Orthopedics Total Joint Replacement.,"Free-standing surgery center established 2001, 6 operating rooms and 1 procedure room"
0,Aspen Surgical Center,133 La Casa Via,Suite 150,Walnut Creek,CA,94598,(925) 210-8400,,multi-specialty,None / Unknown,unknown,unknown,unknown,unknown,False,True,"Medical Anesthesia Consultants, Inc.","Practice: Medical Anesthesia Consultants, Inc.",4.55,True,"Providence Health Plan directory indicates accreditation status currently not available for this facility. No AAAHC, Joint Commission, or QUAD A accreditation mentioned on facility website or public directories.",
0,Diablo Plaza Surgery Center,2222 East Street,Suite 290,Concord,CA,94520,(925) 691-1580,,multi-specialty,None / Unknown,unknown,unknown,unknown,unknown,False,True,G2 Anesthesia,Diablo Plaza Surgery Center · Laser Surgery Center · Premier Surgery Center,8.61,True,No accreditation information found in search results for Diablo Plaza Surgery Center. The facility is registered with NPI 1851739866 as an ambulatory surgical clinic/center since June 2013.,
0,Diablo Plaza Surgery Center,2222 East St,Ste 290,Concord,CA,94520,925-691-1580,,Ambulatory Surgery Center,None / Unknown,unknown,unknown,unknown,unknown,False,True,G2 Anesthesia,Diablo Plaza Surgery Center,8.61,True,No accreditation information found for Diablo Plaza Surgery Center. G2 Anesthesia lists Diablo Plaza Surgery Center as a partner facility on their website.,Found via npino.com NPI registry - NPI 1851739866
