warmth_score,name,address,suite,city,state,zip,phone,website,services,accreditation_summary,overall_confidence,accreditation_aaahc,accreditation_joint_commission,accreditation_quad_a,has_anesthesia_director,has_named_anesthesia_group,anesthesia_partner_name,anesthesia_quote,distance_miles,within_radius,evidence,notes
56,Shoreline Surgery Center,,,Huntington Beach,CA,,,,multi-specialty surgery,QUAD A (confirmed),confirmed,no,no,confirmed,False,False,,"Assisting your surgeon will be a team of Board Certified or Board Eligible Anesthesiologists and Licensed Nurse Anesthetists, along with specialty-trained nurses and OR technicians.",2.69,True,"Facility website states accreditation by American Association for Accreditation of Surgery Facilities (AAAASF/QUAD A), confirmed by third-party directory listing AAAASF accreditation. No evidence of AAAHC or Joint Commission accreditation found.",Listed on Yelp
54,OC Vascular & Endovascular Surgery Center,11190 Warner Ave,408,Fountain Valley,CA,92708,(714) 430-1414,https://ocvascular.com,"Vascular and endovascular surgery, varicose veins, spider veins treatment",None / Unknown,unknown,unknown,unknown,unknown,False,False,,,4.1,True,"No accreditation information found on facility website or through searches of AAAHC, Joint Commission, or QUAD A directories. No anesthesia services mentioned on website.",Found via Yelp and official website listing at this address suite 408
45,Clarity Eye Group,19671 Beach Boulevard,400,Huntington Beach,CA,92648,,https://www.clarityeyegroup.com/contact/,"LASIK and cataract surgery, surgical eye services",None / Unknown,unknown,no,no,no,False,False,,Pterygium surgery is performed under topical anesthesia on an outpatient basis.,2.89,True,"No accreditation by AAAHC, Joint Commission, or QUAD A was found in website content or search results. Clarity Eye Group appears to be an ophthalmology practice office rather than an accredited ambulatory surgery center.",Found via web search at same address in Suite 400; provides surgical eye services including LASIK and cataract surgery
43,Mosaic Surgery Center LLC,17742 Beach Boulevard,335,Huntington Beach,CA,92647,(714) 848-1133,,Plastic Surgery,QUAD A (confirmed),confirmed,no,no,confirmed,False,True,JL Anesthesia,"Also known as including Jl Anesthesia, Lee S Kim.",1.3,True,Facility is AAAASF-accredited (confirmed via stevevumd.com website stating 'AAAASF-accredited' and QUAD A certificate found at quada.org). No evidence found for AAAHC or Joint Commission accreditation.,Found on CareDash and npino.com as ambulatory surgery center at Suite 335
38,Newport Coast Surgery Center,,,Newport Beach,CA,,,https://newportcoastsurgery.com/,"spine surgery, orthopedic surgery, pain management",None / Unknown,unknown,unknown,unknown,unknown,False,False,,You must have a driver to take you home because of the sedation medication (general anesthesia and/or local) you will be receiving during your procedure.,8.14,True,"No accreditation information found on facility website or in web searches. Medicare-certified ASC but no AAAHC, Joint Commission, or QUAD A accreditation identified.",Medicare and most PPO insurances accepted
33,OC Dermatology & Surgery,17742 Beach Blvd,Suite 325,Huntington Beach,CA,92647,,,dermatologic surgery,None / Unknown,unknown,no,no,no,False,False,,,1.3,True,"No accreditation by AAAHC, Joint Commission, or QUAD A found in web searches or facility directory listings. Facility appears to be a dermatology office practice rather than an accredited surgery center.",Multi-tenant building - different suite from other facilities at same address
32,"Beach Surgical Medical Center, LLC",,,Huntington Beach,CA,,(714) 375-3779,,ambulatory surgery,None / Unknown,unknown,unknown,unknown,unknown,,,,,2.69,True,"Beach Surgical Medical Center, LLC is Medicare certified by CMS. No evidence of AAAHC, Joint Commission, or QUAD A accreditation was found in available online sources.",Medicare certified ASC with 1 operating room
32,Fountain Valley Surgery Center,11190 Warner Ave,Suite 212,Fountain Valley,CA,92708,(714) 338-1650,,ambulatory surgery,None / Unknown,unknown,unknown,unknown,unknown,False,False,,,4.1,True,"Facility is Medicare certified by CMS. No explicit accreditation by AAAHC, Joint Commission, or QUAD A found in available search results or facility directories.",43 years in business
32,Huntington Beach Oral & Maxillofacial Surgery,,,Huntington Beach,CA,,,http://www.hbomfs.com/,"oral surgery, maxillofacial surgery, dental implants, wisdom teeth",None / Unknown,unknown,no,no,no,False,False,,"Oral and Maxillofacial surgery, oral surgery, dental implants, anesthesia, IV sedation",2.69,True,"No accreditation by AAAHC, Joint Commission, or QUAD A was found in website content, search results, or accreditation directories. Dr. Marshall and Dr. Telles are both Diplomates of the National Dental Board of Anesthesiology, indicating in-house anesthesia capability.",Listed on Yelp as top surgery center
20,Coastline Surgery Center,,,Huntington Beach,CA,,,,multi-specialty surgery,None / Unknown,unknown,unknown,unknown,unknown,False,False,,,2.69,True,"Unable to locate 'Coastline Surgery Center' in Huntington Beach, CA. A facility by this name exists in Santa Ana, CA (3200 S Bristol St) with Medicare certification and a Medical Director (Dr. Atef Rafla). No AAAHC, Joint Commission, or QUAD A accreditation documentation found in available sources.",Listed on Yelp as top surgery center
20,Mile Square Surgery Center,,,Fountain Valley,CA,,,,multi-specialty surgery,None / Unknown,unknown,no,no,no,False,False,,"Anesthesiologist Dr Provosa are friendly, professional and make you feel as comfortable as possible.",2.57,True,"Facility is Medicare/CMS certified but no evidence found of AAAHC, Joint Commission, or QUAD A accreditation in searches of facility information, directories, or press releases.",Listed on Yelp
16,Mosaics Surgery Center,,,Huntington Beach,CA,92647,,,ambulatory surgery,QUAD A (confirmed),confirmed,no,no,confirmed,False,True,Jl Anesthesia,"Also known as including Jl Anesthesia, Lee S Kim.",2.69,True,"Mosaic Surgery Center's website explicitly states it is AAAASF-accredited, and no evidence was found of AAAHC or Joint Commission accreditation.",Listed on NewChoiceHealth
