warmth_score,name,address,suite,city,state,zip,phone,website,services,accreditation_summary,overall_confidence,accreditation_aaahc,accreditation_joint_commission,accreditation_quad_a,has_anesthesia_director,has_named_anesthesia_group,anesthesia_details,distance_miles,within_radius,evidence,notes
40,San Ramon Endoscopy Center,5801 Norris Canyon Road,#220,San Ramon,CA,94583,(925) 275-9910,,"endoscopy, colonoscopy, gastroenterology",None / Unknown,unknown,unknown,unknown,unknown,False,False,,6.48,True,"Facility website states they are Medicare certified but does not mention AAAHC, Joint Commission, or QUAD A accreditation. No evidence found in online directories for any of these three accreditations.",
32,Laser Surgical Center,2021 Ygnacio Valley Road,Suite H102,Walnut Creek,CA,94598,(925) 944-9400,,multi-specialty,None / Unknown,unknown,no,no,no,,,,4.75,True,"The facility is Medicare-certified by CMS as an ambulatory surgical center with 3 operating rooms. No accreditation by AAAHC, Joint Commission, or QUAD A was found in searches or directory results.",
32,Executive Surgical Center,1320 El Capitan Drive,Suite 100,Danville,CA,94526,(925) 866-9300,,multi-specialty,None / Unknown,unknown,unknown,unknown,unknown,False,False,,4.86,True,"Executive Surgery Center is Medicare/CMS certified but no specific accreditation by AAAHC, Joint Commission, or QUAD A was found in search results or directories.",
32,Crow Canyon Surgical Center,1320 El Capitan Drive,Suite 100,Danville,CA,94526,(925) 413-0808,,multi-specialty,None / Unknown,unknown,unknown,unknown,unknown,False,False,,4.86,True,"The facility at this address (Executive Surgery Center) is Medicare-certified but no accreditation by AAAHC, Joint Commission, or QUAD A was found in available sources.",Same address as Executive Surgical Center but different phone and name
31,Bay Area Surgical Specialist Services,,,Walnut Creek,CA,,,,"orthopedics, spine, urology",AAAHC (confirmed),confirmed,confirmed,no,no,,True,Bay Area Surgical Specialist is a medical group practice specializing in Anesthesiology with named anesthesiologists including Dr. Jin Huang and Dr. Jay Hendrickson at this location.,4.79,True,BASS Surgery Center at 460 N Wiget Lane is accredited by AAAHC per their website and job postings. No evidence found of Joint Commission or QUAD A accreditation.,
29,Excelsior Surgery Center LLC,1320 El Capitan Drive,,Danville,CA,94526,925-676-2600,,,None / Unknown,unknown,unknown,unknown,unknown,False,False,,4.86,True,"Providence Health Plan directory indicates accreditation status is not available; no accreditation confirmed through AAAHC, Joint Commission, or QUAD A searches or directories.",Found on Providence Health Plan Directory at this address with distinct phone number 925-676-2600
15,TreSanti Surgery Center,5201 Norris Canyon Terrace,Suite 100,San Ramon,CA,94583,,,multi-specialty,AAAHC (confirmed),confirmed,confirmed,no,no,False,True,Empire Anesthesia Inc is associated with this facility address and provides anesthesiology services at 5201 Norris Canyon Rd Ste 100.,5.96,True,The facility's website explicitly states they are accredited by Accreditation Association of Ambulatory Health Care (AAAHC). No evidence found for Joint Commission or QUAD A accreditation.,
13,San Ramon Regional Medical Center Outpatient Surgery Center,5801 Norris Canyon Road,,San Ramon,CA,94583,(925) 275-8800,https://www.sanramonmedctr.com/locations/detail/outpatient-surgery-center,"Robotic surgery, minimally invasive spine surgery, joint surgery, general outpatient surgical procedures","AAAHC (likely), Joint Commission (confirmed)",confirmed,likely,confirmed,unknown,True,True,Premier Anesthesia provides anesthesia services and is actively recruiting for a Medical Director position at this facility.,6.48,True,"The hospital is accredited by The Joint Commission per their website. A physician mentions the Outpatient Surgery Center is AAAHC-accredited, though this cannot be independently confirmed for the specific facility.","Found via San Ramon Regional Medical Center website - listed as separate Outpatient Surgery Center at same address. Also referenced on Leapfrog as AKA for San Ramon Endoscopy Center, but appears to be hospital-affiliated outpatient surgery center vs independent endoscopy center. Suite 210 NPI listing also found at this address."
5,Outpatient Surgery Center at San Ramon Regional Medical Center,6001 Norris Canyon Road,,San Ramon,CA,94583,(925) 275-8800,https://www.sanramonmedctr.com/locations/detail/outpatient-surgery-center,multi-specialty including spine surgery,"AAAHC (likely), Joint Commission (confirmed)",confirmed,likely,confirmed,no,True,True,"Premier Anesthesia provides anesthesia services. A job posting was found for an Anesthesia Medical Director position at this facility through Premier Anesthesia, indicating an established relationship with this anesthesia group.",6.07,True,San Ramon Regional Medical Center is confirmed accredited by The Joint Commission per their website. AAAHC accreditation is likely based on third-party claims that the Outpatient Surgery Center is AAAHC accredited.,"Hospital-based ASC, accredited by AAAHC"
0,Iron Horse Surgery Center,,,San Ramon,CA,,,https://www.ironhorsesurgerycenter.com,orthopedic surgery,None / Unknown,unknown,unknown,unknown,unknown,False,True,"Anesthesia services provided by Pontine Anesthesia Consultants, a Bay Area-based anesthesia group specializing in ambulatory surgery centers.",6.91,True,"No accreditation information was found on the facility website or in public accreditation directories for AAAHC, Joint Commission, or QUAD A.",
0,Diablo Plaza Surgery Center,2222 East Street,Suite 290,Concord,CA,94520,(925) 691-1580,,multi-specialty,None / Unknown,unknown,unknown,unknown,unknown,False,True,"G2 Anesthesia lists Diablo Plaza Surgery Center as one of their partner facilities, indicating an existing anesthesia services contract with this group.",8.61,True,"No accreditation information found for Diablo Plaza Surgery Center in any AAAHC, Joint Commission, or QUAD A directories or facility listings despite multiple searches.",
0,Iron Horse Surgery Center,1320 El Capitan Drive,,Danville,CA,,,,,None / Unknown,unknown,unknown,unknown,unknown,False,True,"Anesthesia provided by Pontine Anesthesia Consultants, a private practice anesthesia group based in the San Francisco Bay Area that specializes in providing comprehensive anesthesia services to ambulatory surgery centers.",5.43,True,"No accreditation information found on the facility website or through searches of AAAHC, Joint Commission, or QUAD A directories. The facility operates as an orthopedic ambulatory surgery center in San Ramon, CA.",Found on Waze directions listing for this address
